LogID,LineID,LogTime,LoggedValue,CmdType,Description,UnitType
1,LHPM,13/10/2021 04:39:53,0,4,תפוקת קו,Kg/h
1,LHPM,13/10/2021 05:18:54,135.4,4,תפוקת קו,Kg/h
1,LHPM,13/10/2021 07:21:03,142.1,4,תפוקת קו,Kg/h
1,LHPM,13/10/2021 07:33:34,148.8,4,תפוקת קו,Kg/h
1,LHPM,13/10/2021 07:34:54,159,4,תפוקת קו,Kg/h
1,LHPM,13/10/2021 11:36:11,164.5,4,תפוקת קו,Kg/h
1,LHPM,15/10/2021 00:31:09,0,4,תפוקת קו,Kg/h
1,LHPM,15/10/2021 01:34:42,135.8,4,תפוקת קו,Kg/h
1,LHPM,15/10/2021 01:36:02,149,4,תפוקת קו,Kg/h
1,LHPM,15/10/2021 01:36:32,162.1,4,תפוקת קו,Kg/h
1,LHPM,15/10/2021 01:39:42,169.2,4,תפוקת קו,Kg/h
1,LHPM,15/10/2021 04:00:24,162.3,4,תפוקת קו,Kg/h
1,LHPM,15/10/2021 05:04:18,167.4,4,תפוקת קו,Kg/h
1,LHPM,17/10/2021 03:16:53,0,4,תפוקת קו,Kg/h
1,LHPM,17/10/2021 10:59:36,112.5,4,תפוקת קו,Kg/h
1,LHPM,17/10/2021 11:00:16,0,4,תפוקת קו,Kg/h
1,LHPM,17/10/2021 11:04:06,112.5,4,תפוקת קו,Kg/h
1,LHPM,17/10/2021 11:05:16,126.4,4,תפוקת קו,Kg/h
1,LHPM,17/10/2021 11:05:46,134.3,4,תפוקת קו,Kg/h
1,LHPM,17/10/2021 11:07:56,169.4,4,תפוקת קו,Kg/h
1,LHPM,17/10/2021 11:35:46,176.1,4,תפוקת קו,Kg/h
1,LHPM,17/10/2021 22:29:49,0,4,תפוקת קו,Kg/h
1,LHPM,18/10/2021 09:23:09,110.4,4,תפוקת קו,Kg/h
1,LHPM,18/10/2021 09:23:49,0,4,תפוקת קו,Kg/h
1,LHPM,18/10/2021 09:29:28,119.3,4,תפוקת קו,Kg/h
1,LHPM,18/10/2021 09:30:08,136.1,4,תפוקת קו,Kg/h
1,LHPM,18/10/2021 09:31:27,155.3,4,תפוקת קו,Kg/h
1,LHPM,18/10/2021 09:32:07,162.3,4,תפוקת קו,Kg/h
1,LHPM,18/10/2021 09:33:27,169,4,תפוקת קו,Kg/h
1,LHPM,19/10/2021 12:05:03,188.4,4,תפוקת קו,Kg/h
1,LHPM,19/10/2021 12:25:54,138.2,4,תפוקת קו,Kg/h
1,LHPM,19/10/2021 12:26:34,0,4,תפוקת קו,Kg/h
1,LHPM,19/10/2021 12:27:04,168.9,4,תפוקת קו,Kg/h
1,LHPM,19/10/2021 12:29:33,0,4,תפוקת קו,Kg/h
1,LHPM,19/10/2021 12:34:43,113.8,4,תפוקת קו,Kg/h
1,LHPM,19/10/2021 12:35:14,121,4,תפוקת קו,Kg/h
1,LHPM,19/10/2021 12:36:33,0,4,תפוקת קו,Kg/h
1,LHPM,19/10/2021 12:44:42,121.1,4,תפוקת קו,Kg/h
1,LHPM,19/10/2021 12:45:12,126.5,4,תפוקת קו,Kg/h
1,LHPM,19/10/2021 12:45:52,135.4,4,תפוקת קו,Kg/h
1,LHPM,19/10/2021 12:46:32,148.1,4,תפוקת קו,Kg/h
1,LHPM,19/10/2021 12:47:42,155.3,4,תפוקת קו,Kg/h
1,LHPM,19/10/2021 12:49:02,162.3,4,תפוקת קו,Kg/h
1,LHPM,19/10/2021 12:49:42,169.5,4,תפוקת קו,Kg/h
1,LHPM,19/10/2021 12:52:42,180,4,תפוקת קו,Kg/h
1,LHPM,21/10/2021 02:09:06,168.4,4,תפוקת קו,Kg/h
1,LHPM,21/10/2021 02:18:46,101,4,תפוקת קו,Kg/h
1,LHPM,21/10/2021 02:19:26,162.8,4,תפוקת קו,Kg/h
1,LHPM,21/10/2021 02:54:34,108.5,4,תפוקת קו,Kg/h
1,LHPM,21/10/2021 02:55:04,162.8,4,תפוקת קו,Kg/h
1,LHPM,21/10/2021 09:24:32,174,4,תפוקת קו,Kg/h
1,LHPM,21/10/2021 10:32:34,190.7,4,תפוקת קו,Kg/h
1,LHPM,21/10/2021 23:06:06,0,4,תפוקת קו,Kg/h
1,LHPM,24/10/2021 20:26:19,69.2,4,תפוקת קו,Kg/h
1,LHPM,24/10/2021 20:29:19,99.5,4,תפוקת קו,Kg/h
1,LHPM,24/10/2021 20:29:59,108.1,4,תפוקת קו,Kg/h
1,LHPM,24/10/2021 20:31:39,115.5,4,תפוקת קו,Kg/h
1,LHPM,24/10/2021 20:57:56,121.7,4,תפוקת קו,Kg/h
3,LBlue,01/10/2021 02:51:01,39.7,4,תפוקת קו,Kg/h
3,LBlue,01/10/2021 02:51:41,0.4,4,תפוקת קו,Kg/h
3,LBlue,01/10/2021 10:02:41,129.1,4,תפוקת קו,Kg/h
3,LBlue,01/10/2021 10:03:21,185.5,4,תפוקת קו,Kg/h
3,LBlue,01/10/2021 10:04:31,87.8,4,תפוקת קו,Kg/h
3,LBlue,01/10/2021 10:05:11,0.5,4,תפוקת קו,Kg/h
3,LBlue,01/10/2021 10:40:51,129,4,תפוקת קו,Kg/h
3,LBlue,01/10/2021 10:41:22,185.3,4,תפוקת קו,Kg/h
3,LBlue,01/10/2021 15:13:05,199.3,4,תפוקת קו,Kg/h
3,LBlue,01/10/2021 15:17:35,208.6,4,תפוקת קו,Kg/h
3,LBlue,02/10/2021 19:39:45,0,4,תפוקת קו,Kg/h
3,LBlue,02/10/2021 20:40:51,129.1,4,תפוקת קו,Kg/h
3,LBlue,02/10/2021 20:41:31,208.4,4,תפוקת קו,Kg/h
3,LBlue,02/10/2021 20:42:51,0,4,תפוקת קו,Kg/h
3,LBlue,02/10/2021 20:44:10,46.3,4,תפוקת קו,Kg/h
3,LBlue,02/10/2021 20:44:41,0,4,תפוקת קו,Kg/h
3,LBlue,02/10/2021 20:52:59,99.8,4,תפוקת קו,Kg/h
3,LBlue,02/10/2021 20:53:39,208.4,4,תפוקת קו,Kg/h
3,LBlue,03/10/2021 13:50:13,199.3,4,תפוקת קו,Kg/h
3,LBlue,03/10/2021 14:13:11,0,4,תפוקת קו,Kg/h
3,LBlue,03/10/2021 15:15:05,139.1,4,תפוקת קו,Kg/h
3,LBlue,03/10/2021 15:23:56,148.2,4,תפוקת קו,Kg/h
3,LBlue,03/10/2021 15:30:07,167,4,תפוקת קו,Kg/h
3,LBlue,03/10/2021 15:35:57,176.3,4,תפוקת קו,Kg/h
3,LBlue,03/10/2021 15:36:37,185.6,4,תפוקת קו,Kg/h
3,LBlue,06/10/2021 08:49:58,213.2,4,תפוקת קו,Kg/h
3,LBlue,06/10/2021 10:45:35,169.5,4,תפוקת קו,Kg/h
3,LBlue,06/10/2021 10:46:05,0,4,תפוקת קו,Kg/h
3,LBlue,06/10/2021 19:32:11,129,4,תפוקת קו,Kg/h
3,LBlue,06/10/2021 19:32:51,208.4,4,תפוקת קו,Kg/h
3,LBlue,06/10/2021 19:35:30,118.9,4,תפוקת קו,Kg/h
3,LBlue,06/10/2021 19:36:00,1.2,4,תפוקת קו,Kg/h
3,LBlue,06/10/2021 19:47:09,129.1,4,תפוקת קו,Kg/h
